rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
1,,2659,1022200531484.0,"ООО КБ ""Алтайкапиталбанк""",ООО (Паевое),1994-01-21,Действующая,"656043, Алтайский край, г.Барнаул, ул.Л.Толстого, 38а",2659,"ООО КБ ""Алтайкапиталбанк""",АЛТАЙКАПИТАЛБАНК
2,,1927,1022200525841.0,"АО КБ ""Модульбанк""",НПАО,1992-06-23,Действующая,"Костромская область, г.о. город Кострома, г. Кострома, пл. Октябрьская, д. 1",1927,"АО КБ ""Модульбанк""",МОДУЛЬБАНК
3,,2337,1022200525786.0,"АО ""Зернобанк""",НПАО,1993-05-13,Отозванная,"656056, Алтайский край, г.Барнаул, ул.Анатолия, 6",2337,"АО ""Зернобанк""",ЗЕРНОБАНК
4,Расчетная НКО,3166,1025400002968.0,"РНКО ""Платежный Центр"" (ООО)",ООО (Паевое),1994-12-02,Действующая,"630102, город Новосибирск, улица Кирова, дом 86",3166,"РНКО ""Платежный Центр"" (ООО)",РНКО ПЛАТЕЖНЫЙ ЦЕНТР
5,,826,1022200529537.0,"ООО ""КБ ""Тальменка-банк""",ООО (Паевое),1990-11-16,Отозванная,"656037, Алтайский край, г.Барнаул, пр.Ленина, 156-а",826,"ООО ""КБ ""Тальменка-банк""",ТАЛЬМЕНКА-БАНК
6,,2015,1022200525819.0,"""СИБСОЦБАНК"" ООО",ООО (Паевое),1992-08-21,Действующая,"656049, Алтайский край, г.Барнаул, пр-кт Ленина,д. 61а",2015,"""СИБСОЦБАНК"" ООО",СИБСОЦБАНК
7,,2518,1022300003703.0,"КБ ""Кубань Кредит"" ООО",ООО (Паевое),1993-09-28,Действующая,"350000, г. Краснодар, ул. им. Орджоникидзе, дом № 46 / ул. Красноармейская, дом  № 32",2518,"КБ ""Кубань Кредит"" ООО",КУБАНЬ КРЕДИТ
8,,2772,1022300001811.0,ЮГ-Инвестбанк (ПАО),ПАО,1994-04-05,Действующая,"350000, г. Краснодар, ул. Красная, 113",2772,ЮГ-Инвестбанк (ПАО),ЮГ-ИНВЕСТБАНК
9,,2167,1022300000051.0,"ПАО ""Банк Екатерининский""",ПАО,1992-11-30,Отозванная,"115035, г. Москва, Кадашевская набережная, д. 32/2, стр. 1",2167,"ПАО ""Банк Екатерининский""",ЕКАТЕРИНИНСКИЙ
10,,481,1022300003021.0,"ООО КБ ""РостФинанс""",ООО (Паевое),1990-10-15,Действующая,"344019, г. Ростов-на-Дону, ул. 1-я Майская, 13а/11а",481,"ООО КБ ""РостФинанс""",РОСТФИНАНС
11,,478,1022300000502.0,"АО ""Кубаньторгбанк""",НПАО,1990-10-15,Действующая,"350075, г. Краснодар, ул. им. Стасова, дом 176",478,"АО ""Кубаньторгбанк""",КУБАНЬТОРГБАНК
12,,625,1062300007901.0,Банк - Т (ОАО),ОАО (АО),1990-10-30,Отозванная,"123610, г. Москва, Краснопресненская наб., д. 12",625,Банк - Т (ОАО),БАНК-Т
